sujet,numero_question,code_noeud,confiance,motif
2023_DIDA_anglais,Q1,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q2,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q3,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q4,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q5,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q6,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q7,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q8,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q9,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q10,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q11,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q12,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q13,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q15,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q16,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q17,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q18,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q19,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q20,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q21,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q22,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q24,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q25,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q26,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q27,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q28,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q29,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q30,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q31,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q32,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q33,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q34,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q35,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
